"Index","Method Name","Method Signature","Commit Count","Change Types","Commit Message","Commit ID","Commit Author"
"1","write","write","1","Exceptions Change","Use String#isEmpty(), remove redundancies, and reduce verbose code (#1225)

","5a22ee46c4b1dd3e071bc908501cc65f2a3e374c","Gary Gregory"
"2","write","write","1","Exceptions Change","Use String#isEmpty(), remove redundancies, and reduce verbose code (#1225)

","5a22ee46c4b1dd3e071bc908501cc65f2a3e374c","Gary Gregory"
"3","test","test","3","Exceptions Change","minor improvements to manual micro-benchmarks
","841b90dae603e06b0b5e01d37775969399a1512b","Tatu Saloranta"
"4","test","test","3","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"5","test","test","3","Exceptions Change","Use String#isEmpty(), remove redundancies, and reduce verbose code (#1225)

","5a22ee46c4b1dd3e071bc908501cc65f2a3e374c","Gary Gregory"
"6","test","test","3","Body Change, Exceptions Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"7","test","test","3","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"8","test","test","3","Exceptions Change","Use String#isEmpty(), remove redundancies, and reduce verbose code (#1225)

","5a22ee46c4b1dd3e071bc908501cc65f2a3e374c","Gary Gregory"
"9","_testRead1","_testRead1","1","Body Change, Exceptions Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"10","_testRead2","_testRead2","1","Body Change, Exceptions Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"11","testRead1","testRead1","1","Exceptions Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"12","testRead2","testRead2","1","Exceptions Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"13","a2q","a2q","2","Body Change, Introduced, MultiChange","Minor clean up of manual perf test
","f2a425420ec182e544ab26c8aa5b50100ff7fec7","Tatu Saloranta"
"14","a2q","a2q","2","Body Change","avoid use slow regular expression when replacing characters (#1219)

","5da133e1e41cd470cf8e464103c70ada34f9a25c","Tatu Saloranta"
"15","main","main","1","Modifier Change","Javadoc issue fixes for 2.18 (partial)
","a0f55c977403319a739e8c094064ea9166334734","Tatu Saloranta"
"16","testRead1","testRead1","2","Body Change","fix a minor flaw in allocation handling
","84dc1843f7ce5f6071f701e8588e5673f49b31ac","Tatu Saloranta"
"17","testRead1","testRead1","2","Modifier Change","Adding bit more tests for 'isNextXxx()' methods
","6890ab1f2745900b2ef1fa8b9ec8a36934ac03f1","Tatu Saloranta"
"18","testRead2","testRead2","1","Modifier Change","Adding bit more tests for 'isNextXxx()' methods
","6890ab1f2745900b2ef1fa8b9ec8a36934ac03f1","Tatu Saloranta"
"19","test","test","2","Body Change","Fixed [Issue#48]
","61d5bdd2317a0591d7d6d07e38e1102cff894dd0","Tatu Saloranta"
"20","test","test","2","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"21","jsonFactory","jsonFactory","2","File Renamed","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"22","jsonFactory","jsonFactory","2","Body Change, Introduced, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"23","intArray","intArray","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"24","longArray","longArray","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"25","doubleArray","doubleArray","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"26","stringArray","stringArray","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"27","_testIntArray","_testIntArray","1","Body Change","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"28","_testLongArray","_testLongArray","1","Body Change","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"29","_testDoubleArray","_testDoubleArray","1","Body Change","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"30","_testStringArray","_testStringArray","2","File Renamed","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"31","_testStringArray","_testStringArray","2","Body Change, Exceptions Change, Introduced, MultiChange","#504 Add String array write method to Streaming API (#598)

","2b14dbc2201779227bbce563b3c9e597b2d2942b","Oleksandr Poslavskyi"
"32","_testIntArray","_testIntArray","4","Body Change, Exceptions Change, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"33","_testIntArray","_testIntArray","4","Body Change, Exceptions Change, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"34","_testIntArray","_testIntArray","4","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"35","_testIntArray","_testIntArray","4","Body Change, Exceptions Change, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"36","_testLongArray","_testLongArray","4","Body Change, Exceptions Change, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"37","_testLongArray","_testLongArray","4","Body Change, Exceptions Change, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"38","_testLongArray","_testLongArray","4","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"39","_testLongArray","_testLongArray","4","Body Change, Exceptions Change, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"40","_testDoubleArray","_testDoubleArray","3","Body Change, Exceptions Change, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"41","_testDoubleArray","_testDoubleArray","3","Body Change, Exceptions Change, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"42","_testDoubleArray","_testDoubleArray","3","Body Change, Exceptions Change, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"43","_testStringArray","_testStringArray","3","Body Change, Exceptions Change, Introduced, MultiChange","#504 Add String array write method to Streaming API (#598)

","2b14dbc2201779227bbce563b3c9e597b2d2942b","Oleksandr Poslavskyi"
"44","_testStringArray","_testStringArray","3","Body Change, Exceptions Change, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"45","_testStringArray","_testStringArray","3","Body Change, Exceptions Change, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"46","_generator","_generator","1","Body Change, Exceptions Change, Introduced, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"47","_parser","_parser","1","Body Change, Exceptions Change, Introduced, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"48","simpleDupsEagerlyBytes","simpleDupsEagerlyBytes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"49","simpleDupsEagerlyChars","simpleDupsEagerlyChars","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"50","simpleDupsLazilyBytes","simpleDupsLazilyBytes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"51","simpleDupsLazilyChars","simpleDupsLazilyChars","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"52","_testSimpleDups","_testSimpleDups","3","Body Change, Exceptions Change, Introduced, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"53","_testSimpleDups","_testSimpleDups","3","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"54","_testSimpleDups","_testSimpleDups","3","Body Change, Exceptions Change, MultiChange","More test cleanup wrt parser/generator auto-closing
","3365ab6a9585cf165a235fd8a68b288b1729423c","Tatu Saloranta"
"55","_generator","_generator","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"56","_generator","_generator","2","Body Change, Exceptions Change, MultiChange","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"57","_writeSimple0","_writeSimple0","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"58","_writeSimple0","_writeSimple0","2","Exceptions Change","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"59","_writeSimple1","_writeSimple1","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","0fe0427ad76428dd44c7945509e62176fd9f8998","Tatu Saloranta"
"60","_writeSimple1","_writeSimple1","2","Exceptions Change","Test warnings removal
","3bbb531445278834344ea516437ab5f53c9a5f1a","Tatu Saloranta"
"61","isClosed","isClosed","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"62","simpleWriteObject","simpleWriteObject","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"63","raw","raw","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"64","rawValue","rawValue","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"65","longerObjects","longerObjects","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"66","_testLongerObjects","_testLongerObjects","3","Body Change, Exceptions Change, Introduced, MultiChange","Test refactoring
","85734524c1de6d5706fce6e05cdb2541cdac5dc2","Tatu Saloranta"
"67","_testLongerObjects","_testLongerObjects","3","Body Change","Remove trailing whitespace from sources
","31d4d85dcb25ca6699294db69591388470b9f8fc","Tatu Saloranta"
"68","_testLongerObjects","_testLongerObjects","3","Exceptions Change","Merge branch '2.16' into 2.17
","a01cf6961cddf10ad7fa55f7185fdd141381d929","Tatu Saloranta"
"69","asEmbedded","asEmbedded","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"70","copyRootTokens","copyRootTokens","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"71","copyArrayTokens","copyArrayTokens","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"72","copyObjectTokens","copyObjectTokens","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"73","utf8Issue462","utf8Issue462","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"74","nestingDepthWithSmallLimit","nestingDepthWithSmallLimit","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"75","nestingDepthWithSmallLimitNestedObject","nestingDepthWithSmallLimitNestedObject","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"76","surrogatesWithRaw","surrogatesWithRaw","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"77","filteringWithEscapedChars","filteringWithEscapedChars","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"78","utf8RawStrings","utf8RawStrings","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"79","utf8StringsWithEscaping","utf8StringsWithEscaping","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"80","writeRawWithSerializable","writeRawWithSerializable","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"81","_testWriteRawWithSerializable","_testWriteRawWithSerializable","1","Body Change, Exceptions Change, Introduced, MultiChange","more more more test coverage
","21a8d12fd96dbe20a8d9f483fbaeea4fb5964861","Tatu Saloranta"
"82","generateStrings","generateStrings","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"83","generateStrings","generateStrings","2","Body Change, Exceptions Change, MultiChange","Use String#isEmpty(), remove redundancies, and reduce verbose code (#1225)

","5a22ee46c4b1dd3e071bc908501cc65f2a3e374c","Gary Gregory"
"84","generateString","generateString","1","Body Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"85","nestingDepthWithSmallLimit","nestingDepthWithSmallLimit","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"86","nestingDepthWithSmallLimitNestedObject","nestingDepthWithSmallLimitNestedObject","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"87","jsonFactory","jsonFactory","1","Body Change, Introduced, MultiChange","fast float/double writer option (#749)

","84dd12aab5868967d2760328cd0e3771addedbcf","PJ Fanning"
"88","emptyObjectWrite","emptyObjectWrite","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"89","invalidObjectWrite","invalidObjectWrite","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"90","simpleObjectWrite","simpleObjectWrite","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"91","convenienceMethods","convenienceMethods","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"92","convenienceMethodsWithNulls","convenienceMethodsWithNulls","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"93","writeEndObject","writeEndObject","1","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"94","writeEndArray","writeEndArray","1","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"95","objectCount","objectCount","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"96","arrayCount","arrayCount","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"97","simpleDocWithDefault","simpleDocWithDefault","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"98","simpleDocWithMinimal","simpleDocWithMinimal","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"99","rootSeparatorWithoutPP","rootSeparatorWithoutPP","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"100","defaultRootSeparatorWithPP","defaultRootSeparatorWithPP","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"101","customRootSeparatorWithPPOld","customRootSeparatorWithPPOld","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"102","customRootSeparatorWithPPNew","customRootSeparatorWithPPNew","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"103","customRootSeparatorWithFactory","customRootSeparatorWithFactory","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"104","customSeparatorsWithMinimal","customSeparatorsWithMinimal","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"105","customSeparatorsWithPP","customSeparatorsWithPP","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"106","customSeparatorsWithPPWithoutSpacesOld","customSeparatorsWithPPWithoutSpacesOld","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"107","customSeparatorsWithPPWithoutSpacesNew","customSeparatorsWithPPWithoutSpacesNew","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"108","_verifyPrettyPrinter","_verifyPrettyPrinter","1","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"109","_writeTestDocument","_writeTestDocument","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"110","_writeTestDocument","_writeTestDocument","2","Body Change, Exceptions Change, MultiChange","more more more test coverage
","21a8d12fd96dbe20a8d9f483fbaeea4fb5964861","Tatu Saloranta"
"111","_generateRoot","_generateRoot","2","Body Change, Exceptions Change, Introduced, MultiChange","...
","1a90d4d73a2f6cb4cd57c658eaf7ad0e6df5fbae","Tatu Saloranta"
"112","_generateRoot","_generateRoot","2","Body Change, Exceptions Change, MultiChange","more more more test coverage
","21a8d12fd96dbe20a8d9f483fbaeea4fb5964861","Tatu Saloranta"
"113","create","create","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"114","create","create","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"115","create","create","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"116","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"117","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"118","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"119","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"120","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"121","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"122","boundsWithByteArrayInputFromBytes","boundsWithByteArrayInputFromBytes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"123","boundsWithByteArrayInputFromChars","boundsWithByteArrayInputFromChars","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"124","_testBoundsWithByteArrayInput","_testBoundsWithByteArrayInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"125","_testBoundsWithByteArrayInput","_testBoundsWithByteArrayInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"126","_testBoundsWithByteArrayInput","_testBoundsWithByteArrayInput","2","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"127","_testBoundsWithByteArrayInput","_testBoundsWithByteArrayInput","2","Body Change, Exceptions Change, MultiChange","Fix #812
","fb3baee23f924a816bb71f8db5ed521d88b93130","Tatu Saloranta"
"128","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"129","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"130","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"131","boundsWithCharArrayInputFromBytes","boundsWithCharArrayInputFromBytes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"132","boundsWithCharArrayInputFromChars","boundsWithCharArrayInputFromChars","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"133","_testBoundsWithCharArrayInput","_testBoundsWithCharArrayInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"134","_testBoundsWithCharArrayInput","_testBoundsWithCharArrayInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"135","_testBoundsWithCharArrayInput","_testBoundsWithCharArrayInput","2","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"136","_testBoundsWithCharArrayInput","_testBoundsWithCharArrayInput","2","Body Change, Exceptions Change, MultiChange","Fix #812
","fb3baee23f924a816bb71f8db5ed521d88b93130","Tatu Saloranta"
"137","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"138","call","call","1","Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"139","boundsWithStringInputFromBytes","boundsWithStringInputFromBytes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"140","boundsWithStringInputFromChar","boundsWithStringInputFromChar","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
"141","_testBoundsWithStringInput","_testBoundsWithStringInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"142","_testBoundsWithStringInput","_testBoundsWithStringInput","1","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"143","_testBoundsWithStringInput","_testBoundsWithStringInput","2","Body Change, Exceptions Change, Introduced, MultiChange","Test renaming
","47c18f720e5a6364e2d88b34997a05e9c2aa9d29","Tatu Saloranta"
"144","_testBoundsWithStringInput","_testBoundsWithStringInput","2","Body Change, Exceptions Change, MultiChange","Fix #812
","fb3baee23f924a816bb71f8db5ed521d88b93130","Tatu Saloranta"
"145","surrogatesDefaultSetting","surrogatesDefaultSetting","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.18' into 2.19
","788eb9086a39f1ecbdb6e74fd525f6bf7a731897","Tatu Saloranta"
"146","surrogatesByteBacked","surrogatesByteBacked","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.18' into 2.19
","788eb9086a39f1ecbdb6e74fd525f6bf7a731897","Tatu Saloranta"
"147","surrogatesCharBacked","surrogatesCharBacked","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.18' into 2.19
","788eb9086a39f1ecbdb6e74fd525f6bf7a731897","Tatu Saloranta"
"148","checkNonSurrogates","checkNonSurrogates","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.18' into 2.19
","788eb9086a39f1ecbdb6e74fd525f6bf7a731897","Tatu Saloranta"
"149","checkSurrogateWithCharacterEscapes","checkSurrogateWithCharacterEscapes","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.18' into 2.19
","ad95b03a6a28fbc9f150402547131eb49e193962","Tatu Saloranta"
"150","emptyArrayWrite","emptyArrayWrite","1","Body Change, Exceptions Change, Introduced, MultiChange","Merge branch '2.17' into 2.18
","ce188da52e1fd7ff823e185343a970163344f93b","Tatu Saloranta"
